4wd,abs,airbag,alufalg,antisladd,antispinn,auto,bluetooth,c-las,co2,color,dimljus,dragkrok,eco,elhissar,elspeglar,farthallare,fdator,fuel_b_hybrid,fuel_bensin,fuel_d_hybrid,fuel_diesel,gps,itrafik,keyless,klima,laddhybrid,larm,ledheadl,lucka,make,mileage,model,motor,motorv,muggh,multifunktionsratt,parkassist,power,pris,rails,rattv,regnr,regnsensor,servo,skin,spec,startstop,stolminne,stolv-fram,svensks,vikt,vinterd-d,vinterd-fr,xenon,year,ytempm
0,1,1,1,1,0,0,0,1,172,NaN,0,0,0.72,1,1,1,1,0,1,0,0,0,2004-11-26,0,1,0,0,0,0,Toyota,17500,Avensis,794,0,0,1,0,129,29900,1,0,WHW610,1,1,0,NaN,0,0,0,1,NaN,0,0,0,2004,1
0,1,1,1,1,0,0,0,1,172,None,0,0,0.72,1,1,1,1,0,1,0,0,0,2004-11-26,0,1,0,0,0,0,Toyota,17500,Avensis,794,0,0,1,0,129,29900,1,0,WHW610,1,1,0,NaN,0,0,0,1,NaN,0,0,0,2004,1
0,1,1,1,1,0,0,0,1,172,None,0,0,0.72,1,1,1,1,0,1,0,0,0,2004-11-26,0,1,0,0,0,0,Toyota,17500,Avensis,794,0,0,1,0,129,29900,1,0,WHW610,1,1,0,NaN,0,0,0,1,NaN,0,0,0,2004,1
0,1,1,1,0,1,1,0,1,119,None,0,1,0.45,1,1,1,1,0,0,0,1,1,2016-11-07,0,0,0,1,0,0,Volvo,3000,V90,969,0,0,1,0,190,369900,0,0,YGU171,1,1,1,NaN,0,0,1,1,2 310 kg,0,0,1,2017,0
0,0,1,1,0,1,0,0,1,94,None,0,0,0.36,1,1,1,1,0,0,0,1,0,2013-06-03,0,1,0,1,0,0,Volvo,9000,V40,560,0,0,1,0,114,124900,0,0,MXR956,1,1,0,M,0,0,1,1,1 890 kg,0,0,1,2014,0
0,0,1,1,0,1,0,0,1,94,NaN,0,0,0.36,1,1,1,1,0,0,0,1,0,2013-06-03,0,1,0,1,0,0,Volvo,9000,V40,560,0,0,1,0,114,124900,0,0,MXR956,1,1,0,M,0,0,1,1,1 890 kg,0,0,1,2014,0
0,0,1,1,1,1,1,0,1,189,NaN,0,1,0.7,1,1,1,1,0,0,0,1,0,2007-10-03,0,1,0,1,0,0,Opel,24500,Astra,910,0,0,0,0,119,29000,0,0,UOP443,0,0,0,KO 1.9 CDTI C,0,0,0,0,2 010 kg,0,0,0,2008,0
0,0,1,1,1,1,1,0,1,189,Grå,0,1,0.7,1,1,1,1,0,0,0,1,0,2007-10-03,0,1,0,1,0,0,Opel,24500,Astra,910,0,0,0,0,119,29000,0,0,UOP443,0,0,0,KO 1.9 CDTI C,0,0,0,0,2 010 kg,0,0,0,2008,0
0,0,1,1,1,1,1,0,1,189,Grå,0,1,0.7,1,1,1,1,0,0,0,1,0,2007-10-03,0,1,0,1,0,0,Opel,24500,Astra,910,0,0,0,0,119,29000,0,0,UOP443,0,0,0,KO 1.9 CDTI C,0,0,0,0,2 010 kg,0,0,0,2008,0
0,1,1,0,1,0,0,1,1,NaN,NaN,1,0,NaN,1,0,0,0,0,0,0,1,0,NaN,0,1,0,1,1,0,Audi,13820,A6,NaN,0,0,0,0,NaN,99500,0,0,-,1,0,1,NaN,1,0,0,1,NaN,0,0,1,2010,1
1,1,1,1,0,1,1,0,1,133,Grå,0,0,0.51,1,1,1,1,0,0,0,1,1,2017-06-28,0,1,0,1,0,0,Volvo,900,XC60,969,0,0,1,0,190,479900,0,0,BYT098,1,1,1,NaN,0,1,1,1,2 500 kg,0,0,1,2018,0
0,1,1,1,1,1,0,1,1,119,None,0,1,0.45,1,1,1,1,0,0,0,1,0,2012-10-26,0,1,0,0,0,0,Skoda,9322,Octavia,598,1,0,0,0,104,109000,1,0,MHX002,1,1,0,NaN,0,0,1,1,NaN,1,0,0,2013,1
0,1,1,1,1,1,1,0,1,NaN,NaN,0,0,NaN,1,1,1,1,0,1,0,0,1,2005-08-24,0,0,0,1,0,0,BMW,18600,328,NaN,1,0,1,0,193,21900,1,0,XFY017,1,1,1,NaN,0,1,1,0,NaN,1,0,1,2001,1
0,1,1,1,1,1,1,0,1,NaN,NaN,0,0,NaN,1,1,1,1,0,1,0,0,1,2005-08-24,0,0,0,1,0,0,BMW,18600,328,NaN,1,0,1,0,193,21900,1,0,XFY017,1,1,1,NaN,0,1,1,0,NaN,1,0,1,2001,1
